HomeCondition,BuildMaterialQual,YrRD,Remd,TLA,YrBlt,GarCap,Bedrm,TotBaseArea,BasetMinFinArea,BaseFinArea,FirePlaces,Fixtures,PoolArea,TotAcres,SaleDate,Price
4,3,1964,0,1252,1964,4,3,1252,600,0,0,8,0,0.64,2022.53,288461.5385
4,3,1964,0,1252,1964,4,3,1252,600,0,0,8,0,0.64,2022.53,288461.5385
3,2,1920,0,1248,1920,1,2,600,0,0,1,5,0,0.88,2017.17,124519.2308
3,2,1980,0,1056,1980,0,3,1056,900,0,0,5,0,0.5,2021.50,200000
4,3,1980,0,1320,1980,2,3,1320,300,1020,0,9,0,0.29,2017.26,165000
4,3,1980,0,1320,1980,2,3,1320,300,1020,0,9,0,0.29,2021.16,248000
4,3,1992,0,1154,1992,2,3,1118,400,400,0,8,0,0.27,2018.29,210000
4,3,1991,0,1285,1991,4,3,1285,0,1285,0,9,0,0.31,2020.50,259900
4,2,1991,0,945,1991,2,2,945,0,300,0,5,0,0.26,2020.83,179000
4,3,1980,0,1080,1980,2,3,528,450,0,0,8,0,0.26,2018.43,185000
4,3,1979,0,1048,1979,2,3,528,0,500,0,8,0,0.26,2016.48,149500
4,3,1979,0,1048,1979,2,3,528,0,500,0,8,0,0.26,2019.18,185000
4,3,1989,0,1434,1989,2,3,676,0,500,1,12,0,0.26,2020.37,245000
4,3,1989,0,1434,1989,2,3,676,0,500,1,12,0,0.26,2018.03,190000
